TRKLEN,TRACK NAME,FROM_MEASURE,TO_MEASURE
459,E1,12028,12487
60,E1,28640,28699
550,E2,58900,59450
680,E1,14978,15668
193,E2,26407,26600
255,D1,52294,52549
770,F1,6910,7680
613,D2,47030,47643
121,D1,28141,28262
600,D2,0,375
154,E2,28358,28484
154,E2,28330,28356.9
505,E2,25734,25797
505,E2,25300,25731.96
369,E2,24810.15,24934
369,E2,25085.2,25300
369,E2,24934,25091.62
523,E1,24810.15,24934
523,E1,24182,24576.71
1180,E2,22597.37,22685
1180,E2,21518,22610.51
208,E1,16950,17098
208,E1,16865,16927.12
208,E2,16867,16927.12
352,E2,16384.61,16657
352,E2,16305,16385.53
685,E2,14718.7,14996
685,E2,14330,14753.06
421,E2,10691.53,10960
421,E2,10537,10689.62
341,E2,9863.32,9991
341,E2,9707,9919.6
166,E2,7366.53,7522
166,E2,7296,7308.46
152,D2,14166,14318
229,D2,35865,36094
277,D2,50718,50995
88,D2,42866,42959
67,D2,42629,42704
424,D2,41605,42029
87,D2,42784,42866
530,F2,45570,46100
395,F1,39365,39756
370,F1,32480,32850
420,F2,29320,29752
104,F2,4265,4375
600,F2,12059,12659
415,F1,46730,47144
201,F2,53659.5,53860
319,F2,2906,3225
346,F1,12659,13005
440,F1,2175,2615
829,F2,50421,51250
545,F2,34880,35425
885,F2,32515,33402
52,F1,4474,4526
530,F2,38540,39070
580,F1,35750,36331
287,F2,43540,43827
630,F2,46100,46730
148,F1,5177,5326
575,F1,10140,10715
830,F2,51250,52077
988,A2,47670,48658
476,A2,11322,11798
338,A2,4712,5050
600,A2,63545,64145
424,A2,67185,67609
240,A2,5631,5871
1342,A2,90466,91808
513,A2,58312,58825
820,A2,71710,72530
600,A2,12800,13400
1125,A2,65340,66465
395,A2,27315,27710
363,A2,5050,5415
493,A2,45832,46325
824,A1,88806,89630
830,A2,51080,51910
562,A2,81642,82204
1097,A2,35188,36285
842,A2,1386,2228
597,A2,24700,25297
505,A2,29145,29650
595,A2,62435,63030
352,A1,5061,5413
103,A2,57085,57166
734,A2,41963,42697
270,A1,16270,16540
171,A2,44207,44378
600,A2,16540,17140
171,A1,44036,44207
600,G2,55040,55640
1240,E1,31360,32600
902,G2,30280,31182
410,G1,44450,44860
600,G1,55040,55640
111,E2,41224.92,41320
240,E2,18070,18310
630,E1,56660,57300
336,E1,42200,42536
604,E2,5816,6420
360,E2,18800,19160
212,G2,54575.3,54770
395,G2,42863,43258
457,G1,63430,63887
680,G1,32657,33337
273,G2,48585,48858
900,G1,58860,59760
55,G2,62238,62296
410,G1,56410,56820
260,G1,55640,55900
163,G2,42320,42483
240,G1,60410,60650
400,G2,53360,53760
610,G2,48858,49468
900,K1,35692.98,36219
112,K1,22062.83,22158
398,K1,15811,16038.89
797,K1,69296.39,70088
376,K1,54759.16,54779
830,K1,32871,32883.3
909,K1,46485,47284.96
600,K1,19650,20223
464,K1,64451.16,64524
51,K1,79684,79696.91
133,K1,51775.25,51843
1266,K1,42978,43508.86
224,K1,26031,26058.14
